# integral[ exp(-x*t) / t^n, x=1..inf ]
# x                       n=1                       n=2                       n=3
0.000000000000000000e+00  8.999999999999999949e+99  1.000000000000000000e+00  5.000000000000000000e-01
1.000000000000000021e-02  4.037929576538113352e+00  9.496705379837868666e-01  4.902765641846650868e-01
2.000000000000000042e-02  3.354707783309709423e+00  9.131045176405611086e-01  4.809682914769720652e-01
2.999999999999999889e-02  2.959118724021280844e+00  8.816719718278697160e-01  4.719976871968360466e-01
4.000000000000000083e-02  2.681263689025279895e+00  8.535388915913120211e-01  4.633239417443354435e-01
5.000000000000000278e-02  2.467898488509974175e+00  8.278345000752154181e-01  4.549188497484766835e-01
5.999999999999999778e-02  2.295306918143782404e+00  8.040461184956217977e-01  4.467608832372556571e-01
7.000000000000000666e-02  2.150838180256798626e+00  7.818351472879724318e-01  4.388326797978950866e-01
8.000000000000000167e-02  2.026941002585741725e+00  7.609610661797764353e-01  4.311197305461267892e-01
8.999999999999999667e-02  1.918744770032663194e+00  7.412441559682885206e-01  4.236096056170411406e-01
1.000000000000000056e-01  1.822923958419390589e+00  7.225450221940203921e-01  4.162914579082788169e-01
1.100000000000000006e-01  1.737106694065673196e+00  7.047523989493040819e-01  4.091556857060523744e-01
1.199999999999999956e-01  1.659541752089382927e+00  6.877754264664317496e-01  4.021936927705929143e-01
1.300000000000000044e-01  1.588899304858796713e+00  6.715385212889177780e-01  3.953977115765009431e-01
1.400000000000000133e-01  1.524145722172890682e+00  6.559778342946008811e-01  3.887606692987807810e-01
1.499999999999999944e-01  1.464461670520276426e+00  6.410387258470164884e-01  3.822760837740026840e-01
1.600000000000000033e-01  1.409186698689494532e+00  6.266739171758921589e-01  3.759379811090343138e-01
1.700000000000000122e-01  1.357780652540235611e+00  6.128421056645435572e-01  3.697408293167055438e-01
1.799999999999999933e-01  1.309796135415368656e+00  5.995069070365057762e-01  3.636794840723505118e-01
1.900000000000000022e-01  1.264858424412620197e+00  5.866360333049642772e-01  3.577491438077095021e-01
2.000000000000000111e-01  1.222650544183892851e+00  5.742006442412032063e-01  3.519453121148705677e-01
2.099999999999999922e-01  1.182901986254892179e+00  5.621748288566594809e-01  3.462637659551442981e-01
2.200000000000000011e-01  1.145380055000817521e+00  5.505351858622987704e-01  3.407005285363863822e-01
2.300000000000000100e-01  1.109883138895301880e+00  5.392604805574143789e-01  3.352518459875644119e-01
2.399999999999999911e-01  1.076235414872499518e+00  5.283313614971537620e-01  3.299141671536183207e-01
2.500000000000000000e-01  1.044282634443738145e+00  5.177301244604703978e-01  3.246841259781436673e-01
2.600000000000000089e-01  1.013888736777380117e+00  5.074405142414473158e-01  3.195585260503949754e-01
2.700000000000000178e-01  9.849331013282340841e-01  4.974475569782301210e-01  3.145343269763655747e-01
2.800000000000000266e-01  9.573083003567879334e-01  4.877374173558249870e-01  3.096086322980472483e-01
2.899999999999999800e-01  9.309182460132752190e-01  4.782972762347152962e-01  3.047786787352488314e-01
2.999999999999999889e-01  9.056766516758467667e-01  4.691152251789638128e-01  3.000418265640143467e-01
3.099999999999999978e-01  8.815057456791230983e-01  4.601801750637610211e-01  2.953955509772616672e-01
3.200000000000000067e-01  8.583351893273503119e-01  4.514817764889388352e-01  2.908374342986152494e-01
3.300000000000000155e-01  8.361011614550024618e-01  4.430103501517753672e-01  2.863651589409201281e-01
3.400000000000000244e-01  8.147455796883149581e-01  4.347568256685826471e-01  2.819765010176458198e-01
3.500000000000000333e-01  7.942154346208356586e-01  4.267126876014210035e-01  2.776693245291080303e-01
3.599999999999999867e-01  7.744622178092316345e-01  4.188699276597077636e-01  2.734415760567681652e-01
3.699999999999999956e-01  7.554414281594370451e-01  4.112210022183627744e-01  2.692912799082801678e-01
3.800000000000000044e-01  7.371121441549985942e-01  4.037587944334564138e-01  2.652165336638212523e-01
3.900000000000000133e-01  7.194366516620799290e-01  3.964765803499534780e-01  2.612155040808414319e-01
4.000000000000000222e-01  7.023801188656623173e-01  3.893679984893740897e-01  2.572864233199447792e-01
4.100000000000000311e-01  6.859103113518326689e-01  3.824270224820678354e-01  2.534275854593357469e-01
4.199999999999999845e-01  6.699973415297630908e-01  3.756479363725563347e-01  2.496373432692915451e-01
4.299999999999999933e-01  6.546134475437250799e-01  3.690253122795147389e-01  2.459141052215625955e-01
4.400000000000000022e-01  6.397327976061772947e-01  3.625539901364233097e-01  2.422563327115575538e-01
4.500000000000000111e-01  6.253313163232692151e-01  3.562290592763022179e-01  2.386625374737186833e-01
4.600000000000000200e-01  6.113865301117689111e-01  3.500458416555122243e-01  2.351312791726951346e-01
4.700000000000000289e-01  5.978774292432816884e-01  3.439998765383582846e-01  2.316611631548361472e-01
4.799999999999999822e-01  5.847843444148733694e-01  3.380869064870019036e-01  2.282508383461900325e-01
4.899999999999999911e-01  5.720888360485302249e-01  3.323028645206362874e-01  2.248989952846521534e-01
5.000000000000000000e-01  5.597735947761608433e-01  3.266438623245532247e-01  2.216043642751784615e-01
5.100000000000000089e-01  5.478223517808286092e-01  3.211061794040435124e-01  2.183657136581019231e-01
