 

DG/Kpc

 

A/um S 6 8 10 13
.091 3.01E-2 2.52E—2 1.7OE-2 1.07E—2 4.85E-3
.10 4.43E—2 3.67E—2 2.40E—2 1.47E—2 6.45E-3
.11 6.56E—2 5.36E-2 3.4oE-2 2.04E—2 8.54E—3
.13 6.99E—2 5.64E-2 3.48E-2 2.05E—2 8.48E-3
.143 6.4oE-2 5.12E-2 3.14E—2 1.82E-2 7.46E-3
.18 4.27E—2 3.42E-2 2.10E-2 1.24E—2 5.16E-3
.20 3.22E—2 2.62E—2 1.6BE—2 1.04E—2 4.71E—3
.21 2.74E-2 2.26E—2 1.50E-2 9.61E-2 4.68E-3
.216 2.47E—2 2.06E—2 1.40E—2 9.17E—3 4.63E-3
.230 2.05E—2 1.73E—2 1.21E-2 8.25E—3 4.26E—3
.250 1.41E—2 1.263—2 9.793—3 7.27E—3 4.04E—3
.346 3.67E-2 2.79E-2 1.97E—2 1.3OE-2 6.29E—3
.435 5.36E-2 3.90E—2 2.40E-2 1.50E-2 7.01E—3
.55 8.28E-2 5.495-2 2.82E-2 1.57E—2 6.85E—3
.70 1.15E-1 7.14E—2 3.1OE—2 1.53E—2 5.98E—3
.90 1.20E—1 7.77E-2 2.97E—2 1.32E—2 4.70E—3

1.20 9.3SE—2 5.79E—2 2.18E~2 9.26E—3 3.11E-3

1.8 3.88E-2 2.4BE—2 9.6OE—3 4.06E—3 1.33E-3

2.2 2.18E—2 1.41E—2 5.61E—3 2.413-3 8.02E-4

2.4 1.62E—2 1.06E—2 4.31E—3 1.89E—3 6.38E-4

3.4 4.75E—3 3.18E—3 1.39E—3 6.49E-3 2.32E-4

4.0 2.62E—3 1.77E—3 7.96E—4 3.79E-4 1.39E—4

5.0 1.20E—3 8.09E—4 3.67E—4 1.76E—4 6.48E-5

6.0 6.15E—4 4.17E—4 1.91E-4 9.21E-S 3.41E—5

8.0 2.13E—4 1.45E-5 6.65E-5 3.22E-S 1.19E-5

 

 

