# The following is the Haardt&Madau radiation flux from quasars+galaxies.
# For details see Haardt&Madau ApJ, 764, 125, 2012.
# It has been re-arranged to be readable by KROME, the first value is the redshift,
# then energy in eV, and 3th column is the radiation flux in eV/s/cm2/Hz/sr
# Range of redshift 0-15.66, step-size 0.270
# Range of energy   0.1237-4.997d7 eV in logscale
# Table 59x500
#  Redshift   log10(E(eV))     log10(Jflux)
            59, 500
   0.000    -0.9075014E+00    -0.7988544E+01
   0.000    -0.8902544E+00    -0.7966523E+01
   0.000    -0.8730075E+00    -0.7944127E+01
   0.000    -0.8557605E+00    -0.7921549E+01
   0.000    -0.8385135E+00    -0.7898843E+01
   0.000    -0.8212665E+00    -0.7876049E+01
   0.000    -0.8040195E+00    -0.7853461E+01
   0.000    -0.7867726E+00    -0.7831004E+01
   0.000    -0.7695256E+00    -0.7808660E+01
   0.000    -0.7522786E+00    -0.7786566E+01
   0.000    -0.7350316E+00    -0.7764836E+01
   0.000    -0.7177847E+00    -0.7743528E+01
   0.000    -0.7005377E+00    -0.7722589E+01
   0.000    -0.6832907E+00    -0.7702169E+01
   0.000    -0.6660437E+00    -0.7682277E+01
   0.000    -0.6487968E+00    -0.7662928E+01
   0.000    -0.6315498E+00    -0.7644125E+01
   0.000    -0.6143028E+00    -0.7625881E+01
   0.000    -0.5970558E+00    -0.7608371E+01
   0.000    -0.5798089E+00    -0.7591651E+01
   0.000    -0.5625619E+00    -0.7575634E+01
   0.000    -0.5453149E+00    -0.7560626E+01
   0.000    -0.5280679E+00    -0.7546787E+01
   0.000    -0.5108210E+00    -0.7534012E+01
   0.000    -0.4935740E+00    -0.7522181E+01
   0.000    -0.4763270E+00    -0.7511377E+01
   0.000    -0.4590800E+00    -0.7501559E+01
   0.000    -0.4418331E+00    -0.7492627E+01
   0.000    -0.4245861E+00    -0.7484493E+01
   0.000    -0.4073391E+00    -0.7477170E+01
   0.000    -0.3900921E+00    -0.7470743E+01
   0.000    -0.3728451E+00    -0.7465333E+01
   0.000    -0.3555982E+00    -0.7460889E+01
   0.000    -0.3383512E+00    -0.7457219E+01
   0.000    -0.3211042E+00    -0.7454052E+01
   0.000    -0.3038572E+00    -0.7451136E+01
   0.000    -0.2866103E+00    -0.7449690E+01
   0.000    -0.2693633E+00    -0.7450582E+01
   0.000    -0.2521163E+00    -0.7453516E+01
   0.000    -0.2348693E+00    -0.7458008E+01
   0.000    -0.2176224E+00    -0.7463592E+01
   0.000    -0.2003754E+00    -0.7470456E+01
   0.000    -0.1831284E+00    -0.7478683E+01
   0.000    -0.1658814E+00    -0.7488385E+01
   0.000    -0.1486345E+00    -0.7499712E+01
   0.000    -0.1313875E+00    -0.7512583E+01
   0.000    -0.1141405E+00    -0.7526604E+01
   0.000    -0.9689354E-01    -0.7541072E+01
   0.000    -0.7964656E-01    -0.7555470E+01
   0.000    -0.6239958E-01    -0.7570164E+01
   0.000    -0.4515261E-01    -0.7585432E+01
   0.000    -0.2790563E-01    -0.7601525E+01
   0.000    -0.1065866E-01    -0.7618691E+01
   0.000     0.6588319E-02    -0.7637417E+01
   0.000     0.2383529E-01    -0.7657074E+01
   0.000     0.4108227E-01    -0.7677937E+01
   0.000     0.5832925E-01    -0.7700073E+01
   0.000     0.7557622E-01    -0.7723613E+01
   0.000     0.9282320E-01    -0.7748885E+01
   0.000     0.1100702E+00    -0.7774999E+01
   0.000     0.1273172E+00    -0.7802653E+01
   0.000     0.1445641E+00    -0.7830872E+01
   0.000     0.1618111E+00    -0.7859566E+01
   0.000     0.1790581E+00    -0.7888892E+01
   0.000     0.1963051E+00    -0.7918860E+01
   0.000     0.2135520E+00    -0.7949795E+01
   0.000     0.2307990E+00    -0.7980556E+01
   0.000     0.2480460E+00    -0.8010803E+01
   0.000     0.2652930E+00    -0.8041257E+01
   0.000     0.2825399E+00    -0.8072741E+01
   0.000     0.2997869E+00    -0.8104896E+01
   0.000     0.3170339E+00    -0.8136915E+01
   0.000     0.3342809E+00    -0.8169251E+01
   0.000     0.3515278E+00    -0.8201743E+01
   0.000     0.3687748E+00    -0.8234002E+01
   0.000     0.3860218E+00    -0.8265652E+01
   0.000     0.4032688E+00    -0.8296797E+01
   0.000     0.4205157E+00    -0.8329099E+01
