#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), cool (erg/cm3/s)

          30 ,          30
 -0.60000000E+001  0.10000000E+001 -0.40000000E+002
 -0.60000000E+001  0.12413793E+001 -0.40000000E+002
 -0.60000000E+001  0.14827586E+001 -0.40000000E+002
 -0.60000000E+001  0.17241379E+001 -0.40000000E+002
 -0.60000000E+001  0.19655172E+001 -0.40000000E+002
 -0.60000000E+001  0.22068966E+001 -0.40000000E+002
 -0.60000000E+001  0.24482759E+001 -0.40000000E+002
 -0.60000000E+001  0.26896552E+001 -0.40000000E+002
 -0.60000000E+001  0.29310345E+001 -0.40000000E+002
 -0.60000000E+001  0.31724138E+001 -0.39687017E+002
 -0.60000000E+001  0.34137931E+001 -0.39318032E+002
 -0.60000000E+001  0.36551724E+001 -0.38951967E+002
 -0.60000000E+001  0.38965517E+001 -0.38587576E+002
 -0.60000000E+001  0.41379310E+001 -0.38224153E+002
 -0.60000000E+001  0.43793103E+001 -0.37861293E+002
 -0.60000000E+001  0.46206897E+001 -0.37498762E+002
 -0.60000000E+001  0.48620690E+001 -0.37136422E+002
 -0.60000000E+001  0.51034483E+001 -0.36774194E+002
 -0.60000000E+001  0.53448276E+001 -0.36412032E+002
 -0.60000000E+001  0.55862069E+001 -0.36049908E+002
 -0.60000000E+001  0.58275862E+001 -0.35687807E+002
 -0.60000000E+001  0.60689655E+001 -0.35325719E+002
 -0.60000000E+001  0.63103448E+001 -0.34963639E+002
 -0.60000000E+001  0.65517241E+001 -0.34601564E+002
 -0.60000000E+001  0.67931034E+001 -0.34239491E+002
 -0.60000000E+001  0.70344828E+001 -0.33877420E+002
 -0.60000000E+001  0.72758621E+001 -0.33515350E+002
 -0.60000000E+001  0.75172414E+001 -0.33153280E+002
 -0.60000000E+001  0.77586207E+001 -0.32791210E+002
