          50 ,          50 ,          20
 -0.20000000E+001 -0.60000000E+001  0.47712125E+000  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.65105756E+000  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.82499386E+000  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.99893016E+000  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.11728665E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.13468028E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.15207391E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.16946754E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.18686117E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.20425480E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.22164843E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.23904206E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.25643569E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.27382932E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.29122295E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.30861658E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.32601021E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.34340384E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.36079747E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.37819110E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.39558473E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.41297836E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.43037199E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.44776562E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.46515925E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.48255288E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.49994651E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.51734014E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.53473377E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.55212740E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.56952103E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.58691466E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.60430829E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.62170192E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.63909555E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.65648918E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.67388281E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.69127644E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.70867007E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.72606370E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.74345733E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.76085096E+001  0.18017440E+001
 -0.20000000E+001 -0.60000000E+001  0.77824459E+001  0.18017441E+001
 -0.20000000E+001 -0.60000000E+001  0.79563822E+001  0.18017441E+001
 -0.20000000E+001 -0.60000000E+001  0.81303185E+001  0.18017442E+001
 -0.20000000E+001 -0.60000000E+001  0.83042548E+001  0.18017444E+001
 -0.20000000E+001 -0.60000000E+001  0.84781911E+001  0.18017448E+001
 -0.20000000E+001 -0.60000000E+001  0.86521274E+001  0.18017454E+001
 -0.20000000E+001 -0.60000000E+001  0.88260637E+001  0.18017465E+001
 -0.20000000E+001 -0.60000000E+001  0.90000000E+001  0.18017486E+001

 -0.20000000E+001 -0.57551020E+001  0.47712125E+000  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.65105756E+000  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.82499386E+000  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.99893016E+000  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.11728665E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.13468028E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.15207391E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.16946754E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.18686117E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.20425480E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.22164843E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.23904206E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.25643569E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.27382932E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.29122295E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.30861658E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.32601021E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.34340384E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.36079747E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.37819110E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.39558473E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.41297836E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.43037199E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.44776562E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.46515925E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.48255288E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.49994651E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.51734014E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.53473377E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.55212740E+001  0.18017440E+001
 -0.20000000E+001 -0.57551020E+001  0.56952103E+001  0.18017440E+001
