#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), H2 (1/s)

          30 ,          30
 -0.60000000E+001  0.10000000E+001 -0.22495093E+002
 -0.60000000E+001  0.12413793E+001 -0.22400677E+002
 -0.60000000E+001  0.14827586E+001 -0.22318281E+002
 -0.60000000E+001  0.17241379E+001 -0.22269442E+002
 -0.60000000E+001  0.19655172E+001 -0.22210078E+002
 -0.60000000E+001  0.22068966E+001 -0.22182427E+002
 -0.60000000E+001  0.24482759E+001 -0.22210020E+002
 -0.60000000E+001  0.26896552E+001 -0.22316295E+002
 -0.60000000E+001  0.29310345E+001 -0.22510850E+002
 -0.60000000E+001  0.31724138E+001 -0.22779630E+002
 -0.60000000E+001  0.34137931E+001 -0.23096509E+002
 -0.60000000E+001  0.36551724E+001 -0.23439368E+002
 -0.60000000E+001  0.38965517E+001 -0.23794912E+002
 -0.60000000E+001  0.41379310E+001 -0.24156432E+002
 -0.60000000E+001  0.43793103E+001 -0.24520827E+002
 -0.60000000E+001  0.46206897E+001 -0.24886710E+002
 -0.60000000E+001  0.48620690E+001 -0.25253465E+002
 -0.60000000E+001  0.51034483E+001 -0.25620814E+002
 -0.60000000E+001  0.53448276E+001 -0.25988633E+002
 -0.60000000E+001  0.55862069E+001 -0.26356867E+002
 -0.60000000E+001  0.58275862E+001 -0.26725493E+002
 -0.60000000E+001  0.60689655E+001 -0.27094508E+002
 -0.60000000E+001  0.63103448E+001 -0.27463914E+002
 -0.60000000E+001  0.65517241E+001 -0.27833718E+002
 -0.60000000E+001  0.67931034E+001 -0.28203930E+002
 -0.60000000E+001  0.70344828E+001 -0.28574558E+002
 -0.60000000E+001  0.72758621E+001 -0.28945613E+002
 -0.60000000E+001  0.75172414E+001 -0.29317104E+002
 -0.60000000E+001  0.77586207E+001 -0.29689039E+002
 -0.60000000E+001  0.80000000E+001 -0.30061426E+002
 
 -0.55862069E+001  0.10000000E+001 -0.22081297E+002
 -0.55862069E+001  0.12413793E+001 -0.21986883E+002
 -0.55862069E+001  0.14827586E+001 -0.21904487E+002
 -0.55862069E+001  0.17241379E+001 -0.21858091E+002
 -0.55862069E+001  0.19655172E+001 -0.21799518E+002
 -0.55862069E+001  0.22068966E+001 -0.21772079E+002
 -0.55862069E+001  0.24482759E+001 -0.21799826E+002
 -0.55862069E+001  0.26896552E+001 -0.21906267E+002
 -0.55862069E+001  0.29310345E+001 -0.22101028E+002
 -0.55862069E+001  0.31724138E+001 -0.22370049E+002
 -0.55862069E+001  0.34137931E+001 -0.22687195E+002
 -0.55862069E+001  0.36551724E+001 -0.23030340E+002
 -0.55862069E+001  0.38965517E+001 -0.23386183E+002
 -0.55862069E+001  0.41379310E+001 -0.23748017E+002
 -0.55862069E+001  0.43793103E+001 -0.24112741E+002
 -0.55862069E+001  0.46206897E+001 -0.24478968E+002
 -0.55862069E+001  0.48620690E+001 -0.24846082E+002
 -0.55862069E+001  0.51034483E+001 -0.25213806E+002
 -0.55862069E+001  0.53448276E+001 -0.25582015E+002
 -0.55862069E+001  0.55862069E+001 -0.25950653E+002
 -0.55862069E+001  0.58275862E+001 -0.26319700E+002
 -0.55862069E+001  0.60689655E+001 -0.26689149E+002
 -0.55862069E+001  0.63103448E+001 -0.27059003E+002
 -0.55862069E+001  0.65517241E+001 -0.27429270E+002
 -0.55862069E+001  0.67931034E+001 -0.27799956E+002
 -0.55862069E+001  0.70344828E+001 -0.28171072E+002
 -0.55862069E+001  0.72758621E+001 -0.28542625E+002
 -0.55862069E+001  0.75172414E+001 -0.28914624E+002
 -0.55862069E+001  0.77586207E+001 -0.29287075E+002
 -0.55862069E+001  0.80000000E+001 -0.29659985E+002
 
 -0.51724138E+001  0.10000000E+001 -0.21667503E+002
 -0.51724138E+001  0.12413793E+001 -0.21573089E+002
