#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.60000000E+001  0.10000000E+001  0.10214398E+001
 -0.60000000E+001  0.12413793E+001  0.12627598E+001
 -0.60000000E+001  0.14827586E+001  0.15041134E+001
 -0.60000000E+001  0.17241379E+001  0.17040530E+001
 -0.60000000E+001  0.19655172E+001  0.17265073E+001
 -0.60000000E+001  0.22068966E+001  0.17383769E+001
 -0.60000000E+001  0.24482759E+001  0.17483331E+001
 -0.60000000E+001  0.26896552E+001  0.17576273E+001
 -0.60000000E+001  0.29310345E+001  0.17666846E+001
 -0.60000000E+001  0.31724138E+001  0.17756967E+001
 -0.60000000E+001  0.34137931E+001  0.17847637E+001
 -0.60000000E+001  0.36551724E+001  0.17939432E+001
 -0.60000000E+001  0.38965517E+001  0.18032710E+001
 -0.60000000E+001  0.41379310E+001  0.18127712E+001
 -0.60000000E+001  0.43793103E+001  0.18224617E+001
 -0.60000000E+001  0.46206897E+001  0.18323569E+001
 -0.60000000E+001  0.48620690E+001  0.18424692E+001
 -0.60000000E+001  0.51034483E+001  0.18528105E+001
 -0.60000000E+001  0.53448276E+001  0.18633925E+001
 -0.60000000E+001  0.55862069E+001  0.18742268E+001
 -0.60000000E+001  0.58275862E+001  0.18853259E+001
 -0.60000000E+001  0.60689655E+001  0.18967027E+001
 -0.60000000E+001  0.63103448E+001  0.19083710E+001
 -0.60000000E+001  0.65517241E+001  0.19203454E+001
 -0.60000000E+001  0.67931034E+001  0.19326418E+001
 -0.60000000E+001  0.70344828E+001  0.19452771E+001
 -0.60000000E+001  0.72758621E+001  0.19582695E+001
 -0.60000000E+001  0.75172414E+001  0.19716387E+001
 -0.60000000E+001  0.77586207E+001  0.19854061E+001
 -0.60000000E+001  0.80000000E+001  0.19995947E+001
 
 -0.55862069E+001  0.10000000E+001  0.10213754E+001
 -0.55862069E+001  0.12413793E+001  0.12627319E+001
 -0.55862069E+001  0.14827586E+001  0.15041013E+001
 -0.55862069E+001  0.17241379E+001  0.17110619E+001
 -0.55862069E+001  0.19655172E+001  0.17353597E+001
 -0.55862069E+001  0.22068966E+001  0.17476216E+001
 -0.55862069E+001  0.24482759E+001  0.17578423E+001
 -0.55862069E+001  0.26896552E+001  0.17673643E+001
 -0.55862069E+001  0.29310345E+001  0.17766372E+001
 -0.55862069E+001  0.31724138E+001  0.17858625E+001
 -0.55862069E+001  0.34137931E+001  0.17951451E+001
 -0.55862069E+001  0.36551724E+001  0.18045452E+001
 -0.55862069E+001  0.38965517E+001  0.18141007E+001
 -0.55862069E+001  0.41379310E+001  0.18238369E+001
 -0.55862069E+001  0.43793103E+001  0.18337726E+001
 -0.55862069E+001  0.46206897E+001  0.18439231E+001
 -0.55862069E+001  0.48620690E+001  0.18543017E+001
 -0.55862069E+001  0.51034483E+001  0.18649212E+001
 -0.55862069E+001  0.53448276E+001  0.18757939E+001
 -0.55862069E+001  0.55862069E+001  0.18869326E+001
 -0.55862069E+001  0.58275862E+001  0.18983507E+001
 -0.55862069E+001  0.60689655E+001  0.19100621E+001
 -0.55862069E+001  0.63103448E+001  0.19220817E+001
 -0.55862069E+001  0.65517241E+001  0.19344255E+001
 -0.55862069E+001  0.67931034E+001  0.19471107E+001
 -0.55862069E+001  0.70344828E+001  0.19601557E+001
 -0.55862069E+001  0.72758621E+001  0.19735805E+001
 -0.55862069E+001  0.75172414E+001  0.19874066E+001
 -0.55862069E+001  0.77586207E+001  0.20016575E+001
 -0.55862069E+001  0.80000000E+001  0.20163585E+001
 
 -0.51724138E+001  0.10000000E+001  0.10213506E+001
 -0.51724138E+001  0.12413793E+001  0.12627211E+001
 -0.51724138E+001  0.14827586E+001  0.15040966E+001
 -0.51724138E+001  0.17241379E+001  0.17178564E+001
 -0.51724138E+001  0.19655172E+001  0.17443759E+001
 -0.51724138E+001  0.22068966E+001  0.17570576E+001
 -0.51724138E+001  0.24482759E+001  0.17675569E+001
 -0.51724138E+001  0.26896552E+001  0.17773179E+001
 -0.51724138E+001  0.29310345E+001  0.17868166E+001
 -0.51724138E+001  0.31724138E+001  0.17962649E+001
 -0.51724138E+001  0.34137931E+001  0.18057731E+001
 -0.51724138E+001  0.36551724E+001  0.18154045E+001
