          50 ,          50 ,          20
 -0.20000000E+001 -0.60000000E+001  0.47712125E+000  0.41907735E-028
 -0.20000000E+001 -0.60000000E+001  0.65105756E+000  0.41853360E-028
 -0.20000000E+001 -0.60000000E+001  0.82499386E+000  0.41794434E-028
 -0.20000000E+001 -0.60000000E+001  0.99893016E+000  0.41736128E-028
 -0.20000000E+001 -0.60000000E+001  0.11728665E+001  0.41689850E-028
 -0.20000000E+001 -0.60000000E+001  0.13468028E+001  0.41678815E-028
 -0.20000000E+001 -0.60000000E+001  0.15207391E+001  0.41748309E-028
 -0.20000000E+001 -0.60000000E+001  0.16946754E+001  0.41984517E-028
 -0.20000000E+001 -0.60000000E+001  0.18686117E+001  0.42549001E-028
 -0.20000000E+001 -0.60000000E+001  0.20425480E+001  0.43741749E-028
 -0.20000000E+001 -0.60000000E+001  0.22164843E+001  0.46116364E-028
 -0.20000000E+001 -0.60000000E+001  0.23904206E+001  0.50690371E-028
 -0.20000000E+001 -0.60000000E+001  0.25643569E+001  0.59329035E-028
 -0.20000000E+001 -0.60000000E+001  0.27382932E+001  0.75445645E-028
 -0.20000000E+001 -0.60000000E+001  0.29122295E+001  0.10527896E-027
 -0.20000000E+001 -0.60000000E+001  0.30861658E+001  0.16022323E-027
 -0.20000000E+001 -0.60000000E+001  0.32601021E+001  0.26107764E-027
 -0.20000000E+001 -0.60000000E+001  0.34340384E+001  0.44579614E-027
 -0.20000000E+001 -0.60000000E+001  0.36079747E+001  0.78362015E-027
 -0.20000000E+001 -0.60000000E+001  0.37819110E+001  0.14008509E-026
 -0.20000000E+001 -0.60000000E+001  0.39558473E+001  0.25278466E-026
 -0.20000000E+001 -0.60000000E+001  0.41297836E+001  0.45847240E-026
 -0.20000000E+001 -0.60000000E+001  0.43037199E+001  0.83376358E-026
 -0.20000000E+001 -0.60000000E+001  0.44776562E+001  0.15183747E-025
 -0.20000000E+001 -0.60000000E+001  0.46515925E+001  0.27670886E-025
 -0.20000000E+001 -0.60000000E+001  0.48255288E+001  0.50445142E-025
 -0.20000000E+001 -0.60000000E+001  0.49994651E+001  0.91978789E-025
 -0.20000000E+001 -0.60000000E+001  0.51734014E+001  0.16772117E-024
 -0.20000000E+001 -0.60000000E+001  0.53473377E+001  0.30584433E-024
 -0.20000000E+001 -0.60000000E+001  0.55212740E+001  0.55772011E-024
 -0.20000000E+001 -0.60000000E+001  0.56952103E+001  0.10170252E-023
 -0.20000000E+001 -0.60000000E+001  0.58691466E+001  0.18545788E-023
 -0.20000000E+001 -0.60000000E+001  0.60430829E+001  0.33818695E-023
 -0.20000000E+001 -0.60000000E+001  0.62170192E+001  0.61668957E-023
 -0.20000000E+001 -0.60000000E+001  0.63909555E+001  0.11245400E-022
 -0.20000000E+001 -0.60000000E+001  0.65648918E+001  0.20506054E-022
 -0.20000000E+001 -0.60000000E+001  0.67388281E+001  0.37392842E-022
 -0.20000000E+001 -0.60000000E+001  0.69127644E+001  0.68185852E-022
 -0.20000000E+001 -0.60000000E+001  0.70867007E+001  0.12433679E-021
 -0.20000000E+001 -0.60000000E+001  0.72606370E+001  0.22672778E-021
 -0.20000000E+001 -0.60000000E+001  0.74345733E+001  0.41343726E-021
 -0.20000000E+001 -0.60000000E+001  0.76085096E+001  0.75390108E-021
 -0.20000000E+001 -0.60000000E+001  0.77824459E+001  0.13747351E-020
 -0.20000000E+001 -0.60000000E+001  0.79563822E+001  0.25068226E-020
 -0.20000000E+001 -0.60000000E+001  0.81303185E+001  0.45711781E-020
 -0.20000000E+001 -0.60000000E+001  0.83042548E+001  0.83355192E-020
 -0.20000000E+001 -0.60000000E+001  0.84781911E+001  0.15199775E-019
 -0.20000000E+001 -0.60000000E+001  0.86521274E+001  0.27716707E-019
 -0.20000000E+001 -0.60000000E+001  0.88260637E+001  0.50541264E-019
 -0.20000000E+001 -0.60000000E+001  0.90000000E+001  0.92161718E-019

 -0.20000000E+001 -0.57551020E+001  0.47712125E+000  0.13373801E-028
 -0.20000000E+001 -0.57551020E+001  0.65105756E+000  0.13319426E-028
 -0.20000000E+001 -0.57551020E+001  0.82499386E+000  0.13260500E-028
 -0.20000000E+001 -0.57551020E+001  0.99893016E+000  0.13202194E-028
 -0.20000000E+001 -0.57551020E+001  0.11728665E+001  0.13155916E-028
 -0.20000000E+001 -0.57551020E+001  0.13468028E+001  0.13144881E-028
 -0.20000000E+001 -0.57551020E+001  0.15207391E+001  0.13214375E-028
 -0.20000000E+001 -0.57551020E+001  0.16946754E+001  0.13450583E-028
 -0.20000000E+001 -0.57551020E+001  0.18686117E+001  0.14015066E-028
 -0.20000000E+001 -0.57551020E+001  0.20425480E+001  0.15207814E-028
 -0.20000000E+001 -0.57551020E+001  0.22164843E+001  0.17582429E-028
 -0.20000000E+001 -0.57551020E+001  0.23904206E+001  0.22156437E-028
 -0.20000000E+001 -0.57551020E+001  0.25643569E+001  0.30795100E-028
 -0.20000000E+001 -0.57551020E+001  0.27382932E+001  0.46911710E-028
 -0.20000000E+001 -0.57551020E+001  0.29122295E+001  0.76745027E-028
 -0.20000000E+001 -0.57551020E+001  0.30861658E+001  0.13168929E-027
 -0.20000000E+001 -0.57551020E+001  0.32601021E+001  0.23254371E-027
 -0.20000000E+001 -0.57551020E+001  0.34340384E+001  0.41726221E-027
 -0.20000000E+001 -0.57551020E+001  0.36079747E+001  0.75508621E-027
 -0.20000000E+001 -0.57551020E+001  0.37819110E+001  0.13723170E-026
 -0.20000000E+001 -0.57551020E+001  0.39558473E+001  0.24993127E-026
 -0.20000000E+001 -0.57551020E+001  0.41297836E+001  0.45561900E-026
 -0.20000000E+001 -0.57551020E+001  0.43037199E+001  0.83091019E-026
